State_FIPS,County_FIPS,CountName,SNAP2010,SNAP2000
08,103,"Rio Blanco County, CO",472,118
08,105,"Rio Grande County, CO",2426,1851
08,107,"Routt County, CO",741,199
08,109,"Saguache County, CO",1158,922
08,111,"San Juan County, CO",77,35
08,113,"San Miguel County, CO",280,101
08,115,"Sedgwick County, CO",199,105
08,117,"Summit County, CO",891,134
08,119,"Teller County, CO",1973,427
08,121,"Washington County, CO",350,134
08,123,"Weld County, CO",21139,5207
08,125,"Yuma County, CO",904,400
09,000,Connecticut,371356,157935
09,001,"Fairfield County, CT",67553,28185
09,003,"Hartford County, CT",117486,53957
09,005,"Litchfield County, CT",11884,2900
09,007,"Middlesex County, CT",8941,2957
09,009,"New Haven County, CT",115245,53325
09,011,"New London County, CT",27431,8887
09,013,"Tolland County, CT",6865,2023
09,015,"Windham County, CT",15952,5701
10,000,Delaware,130027,31121
10,001,"Kent County, DE",30680,5913
10,003,"New Castle County, DE",66954,17428
10,005,"Sussex County, DE",32392,7780
11,000,District of Columbia,131366,74711
11,001,"District of Columbia, DC",131366,74711
12,000,Florida,2988351,874989
12,001,"Alachua County, FL",34224,15013
12,003,"Baker County, FL",5231,1773
12,005,"Bay County, FL",30200,11004
12,007,"Bradford County, FL",5546,2306
12,009,"Brevard County, FL",66860,19192
12,011,"Broward County, FL",222403,49456
12,013,"Calhoun County, FL",2663,1603
12,015,"Charlotte County, FL",19165,3503
12,017,"Citrus County, FL",21597,6282
12,019,"Clay County, FL",21349,3277
12,021,"Collier County, FL",36248,5783
12,023,"Columbia County, FL",14337,5317
12,025,"Dade County, FL",,
12,027,"DeSoto County, FL",6987,1834
12,029,"Dixie County, FL",3669,1608
12,031,"Duval County, FL",162384,33521
12,033,"Escambia County, FL",58319,22129
12,035,"Flagler County, FL",12588,1563
12,037,"Franklin County, FL",1811,487
12,039,"Gadsden County, FL",12524,6097
12,041,"Gilchrist County, FL",3144,1106
12,043,"Glades County, FL",1569,476
12,045,"Gulf County, FL",2369,1192
12,047,"Hamilton County, FL",3334,1526
12,049,"Hardee County, FL",6506,2786
12,051,"Hendry County, FL",9737,3189
12,053,"Hernando County, FL",29213,5804
12,055,"Highlands County, FL",16533,5361
12,057,"Hillsborough County, FL",230784,58787
12,059,"Holmes County, FL",5189,2496
12,061,"Indian River County, FL",17480,3958
12,063,"Jackson County, FL",8343,3800
12,065,"Jefferson County, FL",2588,1662
12,067,"Lafayette County, FL",1021,604
12,069,"Lake County, FL",42868,9243
12,071,"Lee County, FL",89335,12078
12,073,"Leon County, FL",34177,12394
12,075,"Levy County, FL",8163,2988
12,077,"Liberty County, FL",1230,634
12,079,"Madison County, FL",4551,1981
12,081,"Manatee County, FL",45478,9651
12,083,"Marion County, FL",63077,16774
12,085,"Martin County, FL",13051,3847
12,086,"Miami-Dade County, FL",564407,255562
12,087,"Monroe County, FL",7652,2945
12,089,"Nassau County, FL",8965,1811
12,091,"Okaloosa County, FL",18994,6430
12,093,"Okeechobee County, FL",8401,1987
12,095,"Orange County, FL",181573,37200
12,097,"Osceola County, FL",59185,8510
12,099,"Palm Beach County, FL",143443,37283
12,101,"Pasco County, FL",70975,16648
12,103,"Pinellas County, FL",129578,37469
12,105,"Polk County, FL",114302,33982
12,107,"Putnam County, FL",21464,7807
12,109,"St. Johns County, FL",14485,3491
12,111,"St. Lucie County, FL",46085,12579
12,113,"Santa Rosa County, FL",16397,5093
12,115,"Sarasota County, FL",41456,6267
12,117,"Seminole County, FL",40713,9511
12,119,"Sumter County, FL",9393,3052
12,121,"Suwannee County, FL",8811,2785
12,123,"Taylor County, FL",4719,2293
12,125,"Union County, FL",2847,994
12,127,"Volusia County, FL",82085,21502
12,129,"Wakulla County, FL",3938,1245
12,131,"Walton County, FL",5846,2376
12,133,"Washington County, FL",4795,2081
13,000,Georgia,1737548,562715
13,001,"Appling County, GA",4230,1396
13,003,"Atkinson County, GA",2110,930
13,005,"Bacon County, GA",2228,888
13,007,"Baker County, GA",1135,890
13,009,"Baldwin County, GA",9502,3384
13,011,"Banks County, GA",3307,646
13,013,"Barrow County, GA",11455,2246
13,015,"Bartow County, GA",19723,2991
13,017,"Ben Hill County, GA",5791,2306
13,019,"Berrien County, GA",4797,2032
13,021,"Bibb County, GA",44136,21943
13,023,"Bleckley County, GA",2372,1252
13,025,"Brantley County, GA",3740,1562
13,027,"Brooks County, GA",4252,2413
13,029,"Bryan County, GA",3468,1254
13,031,"Bulloch County, GA",10834,4780
13,033,"Burke County, GA",7472,4132
13,035,"Butts County, GA",5109,1348
13,037,"Calhoun County, GA",1745,1013
13,039,"Camden County, GA",7516,2076
13,043,"Candler County, GA",2853,1318
13,045,"Carroll County, GA",22895,5848
13,047,"Catoosa County, GA",10761,2327
13,049,"Charlton County, GA",3144,1062
13,051,"Chatham County, GA",43463,21515
13,053,"Chattahoochee County, GA",1042,771
13,055,"Chattooga County, GA",5823,1364
13,057,"Cherokee County, GA",15049,1810
13,059,"Clarke County, GA",19803,5871
13,061,"Clay County, GA",1263,1058
13,063,"Clayton County, GA",70076,14809
13,065,"Clinch County, GA",2068,1050
13,067,"Cobb County, GA",67595,9221
13,069,"Coffee County, GA",11493,3490
13,071,"Colquitt County, GA",12452,5087
13,073,"Columbia County, GA",8993,2895
13,075,"Cook County, GA",4648,1940
13,077,"Coweta County, GA",17857,4368
13,079,"Crawford County, GA",2732,1075
13,081,"Crisp County, GA",7284,4058
13,083,"Dade County, GA",2332,674
13,085,"Dawson County, GA",2992,718
13,087,"Decatur County, GA",8249,4772
13,089,"DeKalb County, GA",127242,26113
13,091,"Dodge County, GA",5068,1772
13,093,"Dooly County, GA",3070,1825
13,095,"Dougherty County, GA",32582,16422
13,097,"Douglas County, GA",22908,3669
13,099,"Early County, GA",3937,3108
13,101,"Echols County, GA",806,334
13,103,"Effingham County, GA",6398,1898
13,105,"Elbert County, GA",4491,1976
13,107,"Emanuel County, GA",6092,3519
13,109,"Evans County, GA",2808,1361
13,111,"Fannin County, GA",3993,1101
13,113,"Fayette County, GA",7131,1121
13,115,"Floyd County, GA",18372,6501
13,117,"Forsyth County, GA",8440,944
13,119,"Franklin County, GA",4734,1218
13,121,"Fulton County, GA",180660,71376
13,123,"Gilmer County, GA",4531,977
13,125,"Glascock County, GA",578,193
13,127,"Glynn County, GA",14817,5821
13,129,"Gordon County, GA",10188,2391
13,131,"Grady County, GA",6287,2887
13,133,"Greene County, GA",4018,1630
13,135,"Gwinnett County, GA",95475,8066
13,137,"Habersham County, GA",5971,1120
13,139,"Hall County, GA",27489,5476
13,141,"Hancock County, GA",2575,1761
13,143,"Haralson County, GA",6277,1872
13,145,"Harris County, GA",2764,964
13,147,"Hart County, GA",5041,1512
13,149,"Heard County, GA",2874,860
13,151,"Henry County, GA",26809,2657
13,153,"Houston County, GA",23050,7143
13,155,"Irwin County, GA",2445,946
13,157,"Jackson County, GA",10076,2357
13,159,"Jasper County, GA",3217,1185
13,161,"Jeff Davis County, GA",3960,1422
13,163,"Jefferson County, GA",4936,2587
13,165,"Jenkins County, GA",2675,1398
13,167,"Johnson County, GA",2458,1375
13,169,"Jones County, GA",4527,1152
13,171,"Lamar County, GA",3625,1293
13,173,"Lanier County, GA",2671,907
13,175,"Laurens County, GA",12902,5324
13,177,"Lee County, GA",3796,1337
13,179,"Liberty County, GA",8987,5505
13,181,"Lincoln County, GA",1482,806
13,183,"Long County, GA",3052,1224
13,185,"Lowndes County, GA",22982,9279
13,187,"Lumpkin County, GA",4680,1008
13,189,"McDuffie County, GA",5860,2745
13,191,"McIntosh County, GA",2621,1208
13,193,"Macon County, GA",3080,2274
13,195,"Madison County, GA",5423,1813
13,197,"Marion County, GA",1968,1036
13,199,"Meriwether County, GA",5812,2705
13,201,"Miller County, GA",1708,911
13,205,"Mitchell County, GA",7751,4420
13,207,"Monroe County, GA",3788,1586
13,209,"Montgomery County, GA",2033,851
13,211,"Morgan County, GA",3400,1239
13,213,"Murray County, GA",9832,1304
13,215,"Muscogee County, GA",43048,20260
13,217,"Newton County, GA",21795,4370
13,219,"Oconee County, GA",2029,754
13,221,"Oglethorpe County, GA",2449,767
13,223,"Paulding County, GA",15693,1447
13,225,"Peach County, GA",6968,3414
13,227,"Pickens County, GA",5150,899
13,229,"Pierce County, GA",4078,1655
13,231,"Pike County, GA",2776,646
13,233,"Polk County, GA",9700,2101
13,235,"Pulaski County, GA",1979,981
13,237,"Putnam County, GA",4332,1345
13,239,"Quitman County, GA",715,522
13,241,"Rabun County, GA",2499,628
13,243,"Randolph County, GA",2115,1616
13,245,"Richmond County, GA",54856,29117
13,247,"Rockdale County, GA",17728,2910
13,249,"Schley County, GA",908,466
13,251,"Screven County, GA",3813,2047
13,253,"Seminole County, GA",2665,1857
13,255,"Spalding County, GA",18351,5111
13,257,"Stephens County, GA",6573,2167
13,259,"Stewart County, GA",1512,996
13,261,"Sumter County, GA",11023,6227
13,263,"Talbot County, GA",1671,1010
13,265,"Taliaferro County, GA",590,438
13,267,"Tattnall County, GA",4392,2228
13,269,"Taylor County, GA",2249,1506
13,271,"Telfair County, GA",3127,1790
13,273,"Terrell County, GA",3720,2426
13,275,"Thomas County, GA",10418,4897
13,277,"Tift County, GA",10412,4371
13,279,"Toombs County, GA",8056,3683
13,281,"Towns County, GA",1544,352
13,283,"Treutlen County, GA",2081,1019
13,285,"Troup County, GA",14423,4535
13,287,"Turner County, GA",2824,1602
13,289,"Twiggs County, GA",2034,1023
13,291,"Union County, GA",3438,858
13,293,"Upson County, GA",7244,2420
13,295,"Walker County, GA",12733,3273
13,297,"Walton County, GA",14384,3479
13,299,"Ware County, GA",9178,4307
13,301,"Warren County, GA",1802,922
13,303,"Washington County, GA",5234,3105
13,305,"Wayne County, GA",7397,2813
13,307,"Webster County, GA",638,237
13,309,"Wheeler County, GA",1527,792
13,311,"White County, GA",4538,806
13,313,"Whitfield County, GA",17232,2287
13,315,"Wilcox County, GA",2148,1155
13,317,"Wilkes County, GA",2749,1184
13,319,"Wilkinson County, GA",2673,1277
13,321,"Worth County, GA",5322,3245
15,000,Hawaii,149691,108501
15,001,"Hawaii County, HI",37047,22917
15,003,"Honolulu County, HI",88241,72427
15,005,"Kalawao County, HI",,
15,007,"Kauai County, HI",8275,5541
15,009,"Maui County, HI",16127,7617
16,000,Idaho,223268,58781
16,001,"Ada County, ID",44401,9326
16,003,"Adams County, ID",443,145
16,005,"Bannock County, ID",15363,5095
16,007,"Bear Lake County, ID",536,200
16,009,"Benewah County, ID",1377,596
16,011,"Bingham County, ID",6629,2439
16,013,"Blaine County, ID",986,127
16,015,"Boise County, ID",645,185
16,017,"Bonner County, ID",5404,1866
16,019,"Bonneville County, ID",16707,4080
16,021,"Boundary County, ID",1530,568
16,023,"Butte County, ID",273,120
16,025,"Camas County, ID",86,4
16,027,"Canyon County, ID",42399,8658
16,029,"Caribou County, ID",690,231
16,031,"Cassia County, ID",2977,1081
16,033,"Clark County, ID",130,24
16,035,"Clearwater County, ID",1049,472
16,037,"Custer County, ID",240,79
16,039,"Elmore County, ID",2923,879
16,041,"Franklin County, ID",1206,437
16,043,"Fremont County, ID",1778,418
16,045,"Gem County, ID",2707,711
16,047,"Gooding County, ID",2021,418
16,049,"Idaho County, ID",1682,743
16,051,"Jefferson County, ID",3244,702
16,053,"Jerome County, ID",3680,715
16,055,"Kootenai County, ID",18917,4663
16,057,"Latah County, ID",3190,1143
16,059,"Lemhi County, ID",1048,265
16,061,"Lewis County, ID",727,276
16,063,"Lincoln County, ID",546,71
16,065,"Madison County, ID",3960,601
16,067,"Minidoka County, ID",2784,991
16,069,"Nez Perce County, ID",4468,2318
16,071,"Oneida County, ID",346,142
16,073,"Owyhee County, ID",2117,700
16,075,"Payette County, ID",4211,1436
16,077,"Power County, ID",1291,445
16,079,"Shoshone County, ID",2387,1438
16,081,"Teton County, ID",674,41
16,083,"Twin Falls County, ID",12785,2968
16,085,"Valley County, ID",943,229
16,087,"Washington County, ID",1769,737
17,000,Illinois,1763841,820612
17,001,"Adams County, IL",9514,4572
17,003,"Alexander County, IL",2993,2501
17,005,"Bond County, IL",2375,828
17,007,"Boone County, IL",5368,1102
17,009,"Brown County, IL",371,321
17,011,"Bureau County, IL",3875,1206
17,013,"Calhoun County, IL",486,209
17,015,"Carroll County, IL",2000,816
17,017,"Cass County, IL",1422,650
17,019,"Champaign County, IL",22545,9603
17,021,"Christian County, IL",4900,2227
17,023,"Clark County, IL",1927,994
17,025,"Clay County, IL",1991,927
17,027,"Clinton County, IL",2934,1145
17,029,"Coles County, IL",7303,2697
17,031,"Cook County, IL",901857,482055
17,033,"Crawford County, IL",2595,1169
17,035,"Cumberland County, IL",1253,730
17,037,"DeKalb County, IL",9205,1734
17,039,"De Witt County, IL",1749,1212
17,041,"Douglas County, IL",1815,617
17,043,"DuPage County, IL",52206,9840
17,045,"Edgar County, IL",3380,1329
17,047,"Edwards County, IL",673,331
17,049,"Effingham County, IL",3692,1664
17,051,"Fayette County, IL",3552,1552
17,053,"Ford County, IL",1348,392
17,055,"Franklin County, IL",8631,4420
17,057,"Fulton County, IL",5099,2398
17,059,"Gallatin County, IL",985,956
17,061,"Greene County, IL",2269,926
17,063,"Grundy County, IL",3134,755
17,065,"Hamilton County, IL",1110,739
17,067,"Hancock County, IL",2299,1112
17,069,"Hardin County, IL",711,447
17,071,"Henderson County, IL",571,319
17,073,"Henry County, IL",4607,1988
17,075,"Iroquois County, IL",4040,1402
17,077,"Jackson County, IL",10451,5963
17,079,"Jasper County, IL",894,552
17,081,"Jefferson County, IL",8336,4014
17,083,"Jersey County, IL",2414,1057
17,085,"Jo Daviess County, IL",1596,541
17,087,"Johnson County, IL",1287,842
17,089,"Kane County, IL",59104,13288
17,091,"Kankakee County, IL",19226,8431
17,093,"Kendall County, IL",6525,656
17,095,"Knox County, IL",8235,3715
17,097,"Lake County, IL",54109,14688
17,099,"La Salle County, IL",15366,4490
17,101,"Lawrence County, IL",2114,1050
17,103,"Lee County, IL",1877,1168
17,105,"Livingston County, IL",4083,1573
17,107,"Logan County, IL",4417,1637
17,109,"McDonough County, IL",3416,1773
17,111,"McHenry County, IL",15872,1977
17,113,"McLean County, IL",16229,5696
17,115,"Macon County, IL",20670,11299
